epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.9480990171432495,0.02661757357418537,0.3219911754131317,1e-04,0.1468920260667801,0.5213165283203125,0.9877052307128906,0.01069201622158289,0.6288228631019592,0.0,0.0
1,0.9899794459342957,0.0471513457596302,0.18540538847446442,1e-04,0.7694731950759888,0.5574583411216736,0.9877052307128906,0.01117749884724617,0.539880633354187,0.0,0.0
2,0.9904517531394958,0.06669389456510544,0.1282517910003662,1e-04,0.7958466410636902,0.5612747669219971,0.9877052307128906,0.01160937175154686,0.46045422554016113,0.0,0.0
3,0.9924682378768921,0.08858662843704224,0.09740865975618362,1e-04,0.9130886793136597,0.6014286875724792,0.9877052307128906,0.012056291103363037,0.4187805652618408,0.0,0.0
4,0.9935086965560913,0.11479874700307846,0.0804280936717987,1e-04,0.920550525188446,0.7003294229507446,0.9877052307128906,0.012568964622914791,0.3475452661514282,0.0,0.0
5,0.9941768050193787,0.1309010088443756,0.07096774876117706,1e-04,0.9402451515197754,0.7380695939064026,0.9877052307128906,0.012808999978005886,0.3024023771286011,0.0,0.0
6,0.9945735335350037,0.1434887796640396,0.06480977684259415,1e-04,0.9542446136474609,0.75715172290802,0.9877052307128906,0.01303882710635662,0.2737751305103302,0.0,0.0
7,0.9949260950088501,0.1553264558315277,0.06013533100485802,1e-04,0.9631160497665405,0.782757580280304,0.9877052307128906,0.013319673016667366,0.24312272667884827,0.0,0.0
8,0.9949970245361328,0.16285806894302368,0.057218894362449646,1e-04,0.9629570841789246,0.7919887900352478,0.9877052307128906,0.013644046150147915,0.2177925407886505,0.0,0.0
9,0.9947838187217712,0.16591012477874756,0.05549611896276474,1e-04,0.954700231552124,0.7775059342384338,0.9877052307128906,0.014351006597280502,0.19335833191871643,0.0,0.0
10,0.9947702288627625,0.17139634490013123,0.053638726472854614,1e-04,0.9461613893508911,0.7859216332435608,0.9877052307128906,0.015644460916519165,0.1850285828113556,0.0,0.0
11,0.9945275187492371,0.17514297366142273,0.052731435745954514,1e-04,0.930284857749939,0.7830511927604675,0.9877357482910156,0.01983901672065258,0.17041291296482086,0.9090909361839294,0.0031026992946863174
12,0.9947622418403625,0.1775636374950409,0.05145334079861641,1e-04,0.9509161114692688,0.7804416418075562,0.9883804321289062,0.02290997840464115,0.14592650532722473,0.8999999761581421,0.0670183077454567
13,0.9947209358215332,0.18562564253807068,0.049245916306972504,1e-04,0.9467211365699768,0.7859542965888977,0.9535980224609375,0.03434326499700546,0.2347959280014038,0.14834393560886383,0.5572447776794434
14,0.9948946237564087,0.1908518224954605,0.047168657183647156,1e-04,0.9556856751441956,0.7878788113594055,0.9886360168457031,0.03699643164873123,0.16001322865486145,0.5990314483642578,0.3838039040565491
15,0.9954369068145752,0.20269900560379028,0.04450392350554466,1e-04,0.9735135436058044,0.8176599144935608,0.9851303100585938,0.046210821717977524,0.14562836289405823,0.4456368386745453,0.48960596323013306
16,0.9955806136131287,0.21009616553783417,0.042780984193086624,1e-04,0.973412811756134,0.8311967849731445,0.9873085021972656,0.05496731027960777,0.11381007730960846,0.5282369256019592,0.4759540855884552
17,0.9956031441688538,0.21649467945098877,0.04143324866890907,1e-04,0.9728115200996399,0.8391557931900024,0.9856643676757812,0.06614041328430176,0.10295963287353516,0.4728982448577881,0.5305615663528442
18,0.9956467747688293,0.22161900997161865,0.04020318388938904,1e-04,0.9739618897438049,0.8431026935577393,0.9851264953613281,0.07425836473703384,0.09601955115795135,0.4566519260406494,0.5442134737968445
19,0.9956679344177246,0.2270643413066864,0.03922565281391144,1e-04,0.9729024767875671,0.8514205813407898,0.9852409362792969,0.08359293639659882,0.08873847126960754,0.4622616767883301,0.5491777658462524
20,0.9957101941108704,0.23244504630565643,0.03811052814126015,1e-04,0.9737439155578613,0.8540626764297485,0.9880943298339844,0.08996131271123886,0.0753815695643425,0.5692095160484314,0.5116351246833801
21,0.9958035945892334,0.2383318841457367,0.036855876445770264,1e-04,0.9762541055679321,0.858270525932312,0.9889755249023438,0.09515221416950226,0.0679330825805664,0.6122528314590454,0.48991623520851135
22,0.9958378672599792,0.24313342571258545,0.035862650722265244,1e-04,0.9777225255966187,0.8589555621147156,0.9903678894042969,0.10240089148283005,0.06198994442820549,0.7081487774848938,0.4961216151714325
23,0.9958468079566956,0.24813435971736908,0.03495398908853531,1e-04,0.9806482791900635,0.8545845746994019,0.9909706115722656,0.11644712090492249,0.058480266481637955,0.7368638515472412,0.5525907278060913
24,0.9959036111831665,0.25297391414642334,0.034018971025943756,1e-04,0.9820750951766968,0.8524643778800964,0.991607666015625,0.126407191157341,0.05340991169214249,0.7732558250427246,0.5777226090431213
25,0.9959186315536499,0.25748589634895325,0.033185601234436035,1e-04,0.9851377010345459,0.8518772125244141,0.9926071166992188,0.13967838883399963,0.049743954092264175,0.8136574029922485,0.6543592810630798
26,0.9957613348960876,0.2597128450870514,0.03275176137685776,1e-04,0.9758216142654419,0.8464950919151306,0.9911842346191406,0.1500321924686432,0.055869609117507935,0.6989124417304993,0.7576791644096375
27,0.9957444667816162,0.26470625400543213,0.03220450505614281,1e-04,0.9719882011413574,0.8579443693161011,0.9882545471191406,0.14292030036449432,0.06592747569084167,0.5789608359336853,0.7018305659294128
28,0.9957678914070129,0.2702411413192749,0.03141842409968376,1e-04,0.9729074239730835,0.8632938861846924,0.9931869506835938,0.15608999133110046,0.04114443063735962,0.8997701406478882,0.6071982383728027
