epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.968707799911499,0.018626367673277855,0.26537880301475525,1e-04,0.0911465585231781,0.19563443958759308,0.9892439842224121,0.010885661467909813,0.4260822534561157,0.0,0.0
1,0.9913496971130371,0.040709640830755234,0.12361361086368561,1e-04,0.7622115015983582,0.36944112181663513,0.9892439842224121,0.012422137893736362,0.2854689359664917,0.0,0.0
2,0.9928076267242432,0.06028105691075325,0.10218989104032516,1e-04,0.7728118896484375,0.5660439729690552,0.9892439842224121,0.012149512767791748,0.19672097265720367,0.0,0.0
3,0.9938658475875854,0.07674235105514526,0.08747100085020065,1e-04,0.8304708003997803,0.623525083065033,0.9892439842224121,0.017243260517716408,0.16989533603191376,0.0,0.0
4,0.9955748319625854,0.1087605208158493,0.07124511897563934,1e-04,0.8665167689323425,0.7858253121376038,0.9892439842224121,0.018633320927619934,0.16364316642284393,0.0,0.0
5,0.9959138035774231,0.12305893748998642,0.0628969818353653,1e-04,0.8911349773406982,0.7914702296257019,0.9892439842224121,0.012456654570996761,0.1304129660129547,0.0,0.0
6,0.9962238669395447,0.1381126195192337,0.056251756846904755,1e-04,0.8996499180793762,0.8121129274368286,0.989315390586853,0.011757133528590202,0.10724398493766785,0.6913580298423767,0.01199143473058939
7,0.9965996146202087,0.15435445308685303,0.0505676344037056,1e-04,0.9125606417655945,0.8387446403503418,0.9896228909492493,0.015442612580955029,0.09206254780292511,0.7681607604026794,0.053211990743875504
8,0.9967697262763977,0.16655611991882324,0.04677915945649147,1e-04,0.9190860390663147,0.8503402471542358,0.9901940822601318,0.02636154554784298,0.07628539204597473,0.9173306822776794,0.09860813617706299
9,0.9968007206916809,0.17883707582950592,0.04312309995293617,1e-04,0.9225218892097473,0.8504039645195007,0.9915541410446167,0.062248051166534424,0.0623847134411335,0.880338728427887,0.2559957206249237
10,0.9970088601112366,0.1928057074546814,0.03978744521737099,1e-04,0.9295109510421753,0.862662136554718,0.9925594925880432,0.08179974555969238,0.05500645563006401,0.986750602722168,0.31895074248313904
11,0.9969559907913208,0.2039722204208374,0.0371071994304657,1e-04,0.9289728403091431,0.8572975993156433,0.9947003126144409,0.13153107464313507,0.04462152719497681,0.9817324876785278,0.5351177453994751
12,0.996878445148468,0.21442410349845886,0.03487273305654526,1e-04,0.9252273440361023,0.8531690239906311,0.995181679725647,0.17503659427165985,0.04226038232445717,0.8089803457260132,0.812098503112793
13,0.9971563816070557,0.2305089682340622,0.03207624331116676,1e-04,0.9351934194564819,0.8734294772148132,0.9963056445121765,0.1873253434896469,0.03559929132461548,0.9588963985443115,0.7293362021446228
14,0.9972611665725708,0.24358747899532318,0.02989117242395878,1e-04,0.9432472586631775,0.8723336458206177,0.9964967966079712,0.22195564210414886,0.032259393483400345,0.8992230296134949,0.8426124453544617
15,0.9974967241287231,0.25994807481765747,0.027638617902994156,1e-04,0.9545473456382751,0.8833558559417725,0.9967766404151917,0.23047710955142975,0.030113667249679565,0.9354005455970764,0.8139186501502991
16,0.9976115822792053,0.27547603845596313,0.02579369768500328,1e-04,0.9568342566490173,0.8939703106880188,0.99664306640625,0.23842914402484894,0.028190702199935913,0.9526743292808533,0.7780513763427734
