epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8964484333992004,0.029250891879200935,0.4188030958175659,1e-04,0.1097237691283226,0.6530886292457581,0.6244710087776184,0.013196267187595367,0.6713306903839111,0.03205237537622452,0.8354606032371521
1,0.9896013736724854,0.05792241916060448,0.2261068969964981,1e-04,0.7596680521965027,0.7824133634567261,0.7456949949264526,0.014187389984726906,0.6143656373023987,0.040536701679229736,0.7125416398048401
2,0.9933058023452759,0.09631581604480743,0.14450611174106598,1e-04,0.898653507232666,0.857444167137146,0.9853352904319763,0.014425389468669891,0.5026381015777588,0.0,0.0
3,0.9941853880882263,0.12369028478860855,0.10876763612031937,1e-04,0.9384555816650391,0.8592247366905212,0.9853352904319763,0.014546552672982216,0.4286946952342987,0.0,0.0
4,0.9940180778503418,0.1386595070362091,0.095229871571064,1e-04,0.9350311756134033,0.846842885017395,0.9853352904319763,0.014713659882545471,0.36858490109443665,0.0,0.0
5,0.9940835237503052,0.1489124596118927,0.08823305368423462,1e-04,0.9398912191390991,0.8472537994384766,0.9853352904319763,0.014759649522602558,0.32382139563560486,0.0,0.0
6,0.994655966758728,0.1594240814447403,0.08047865331172943,1e-04,0.9658766984939575,0.8451718688011169,0.9853352904319763,0.014952649362385273,0.2917400300502777,0.0,0.0
7,0.9948612451553345,0.1712443083524704,0.0756872147321701,1e-04,0.9658949375152588,0.872017502784729,0.9853352904319763,0.014868831261992455,0.260627806186676,0.0,0.0
8,0.9949641227722168,0.17908520996570587,0.07097230851650238,1e-04,0.9727849364280701,0.8616628050804138,0.9853352904319763,0.014890581369400024,0.23804935812950134,0.0,0.0
9,0.9951043725013733,0.18838346004486084,0.06741856783628464,1e-04,0.9747152924537659,0.8722640872001648,0.9853352904319763,0.014752746559679508,0.2142840325832367,0.0,0.0
10,0.995147705078125,0.19494670629501343,0.06456474214792252,1e-04,0.9783391356468201,0.8710313439369202,0.9853352904319763,0.014581749215722084,0.19321531057357788,0.0,0.0
11,0.9951398372650146,0.19997064769268036,0.0625678151845932,1e-04,0.9766576290130615,0.8699356317520142,0.9853352904319763,0.014728976413607597,0.17415879666805267,0.0,0.0
12,0.9950246214866638,0.20591074228286743,0.06029629334807396,1e-04,0.9730932116508484,0.8628954887390137,0.9853352904319763,0.01574857160449028,0.16394713521003723,0.0,0.0
13,0.9949941039085388,0.21066294610500336,0.05834159255027771,1e-04,0.9755146503448486,0.8567319512367249,0.9853352904319763,0.016195431351661682,0.16630461812019348,0.0,0.0
14,0.9951462149620056,0.21636545658111572,0.05640712007880211,1e-04,0.9789702892303467,0.8620463013648987,0.9853352904319763,0.01708824187517166,0.16510553658008575,0.0,0.0
15,0.9951196312904358,0.22061878442764282,0.05525107681751251,1e-04,0.9782743453979492,0.8646760582923889,0.9853352904319763,0.017405934631824493,0.14107540249824524,0.0,0.0
16,0.9951708316802979,0.2261534035205841,0.05330447480082512,1e-04,0.9797024130821228,0.8620736598968506,0.9853352904319763,0.015548309311270714,0.12099254876375198,0.0,0.0
